,날짜,온도
4793,20160215,-2.18
4794,20160216,1.01
4795,20160217,2.85
4796,20160218,4.37
4797,20160219,7.02
4798,20160220,5.07
4799,20160221,2.39
4800,20160222,3.21
4801,20160223,4.42
4802,20160224,-0.54
4803,20160225,1.33
4804,20160226,3.2
4805,20160227,8.82
4806,20160228,7.25
4807,20160229,-0.93
4808,20160301,-0.27
4809,20160302,4.0
4810,20160303,9.4
4811,20160304,11.74
4812,20160305,14.99
4813,20160306,12.45
4814,20160307,11.68
4815,20160308,7.6
4816,20160309,3.1
4817,20160310,1.49
4818,20160311,1.26
4819,20160312,3.57
4820,20160313,5.32
4821,20160314,5.06
4822,20160315,6.78
4823,20160316,9.62
4824,20160317,11.72
4825,20160318,12.23
4826,20160319,11.96
4827,20160320,9.14
4828,20160321,9.8
4829,20160322,9.62
4830,20160323,8.62
4831,20160324,7.2
4832,20160325,6.74
4833,20160326,5.4
4834,20160327,7.01
4835,20160328,9.53
4836,20160329,11.78
4837,20160330,15.21
4838,20160331,15.18
4839,20160401,15.52
4840,20160402,16.49
4841,20160403,14.31
4842,20160404,13.62
4843,20160405,12.98
4844,20160406,12.52
4845,20160407,12.86
4846,20160408,15.19
4847,20160409,16.91
4848,20160410,16.84
4849,20160411,14.74
4850,20160412,14.69
4851,20160413,16.85
4852,20160414,17.13
4853,20160415,16.06
4854,20160416,15.53
4855,20160417,12.85
4856,20160418,13.41
4857,20160419,14.23
4858,20160420,15.67
4859,20160421,15.13
4860,20160422,17.65
4861,20160423,17.1
4862,20160424,17.28
4863,20160425,18.35
4864,20160426,18.6
4865,20160427,13.39
4866,20160428,14.68
4867,20160429,15.32
4868,20160430,16.86
4869,20160501,19.03
4870,20160502,18.97
4871,20160503,16.07
4872,20160504,16.54
4873,20160505,17.92
4874,20160506,20.45
4875,20160507,17.29
4876,20160508,18.61
4877,20160509,17.41
4878,20160510,14.71
4879,20160511,17.18
4880,20160512,18.9
4881,20160513,18.1
4882,20160514,20.01
4883,20160515,19.7
4884,20160516,15.61
4885,20160517,18.83
4886,20160518,22.3
4887,20160519,22.34
4888,20160520,22.76
4889,20160521,23.56
4890,20160522,23.58
4891,20160523,23.02
4892,20160524,19.13
4893,20160525,20.16
4894,20160526,21.85
4895,20160527,23.3
4896,20160528,21.55
4897,20160529,20.85
4898,20160530,22.25
4899,20160531,22.01
4900,20160601,22.67
4901,20160602,22.17
4902,20160603,22.46
4903,20160604,18.8
4904,20160605,20.55
4905,20160606,20.24
4906,20160607,21.31
4907,20160608,22.35
4908,20160609,23.5
4909,20160610,23.75
4910,20160611,24.01
4911,20160612,24.28
4912,20160613,24.18
4913,20160614,23.52
4914,20160615,22.3
4915,20160616,21.9
4916,20160617,23.38
4917,20160618,24.08
4918,20160619,25.65
4919,20160620,22.85
4920,20160621,25.34
4921,20160622,23.02
4922,20160623,24.99
4923,20160624,22.54
4924,20160625,23.21
4925,20160626,24.02
4926,20160627,22.23
4927,20160628,22.83
4928,20160629,23.02
4929,20160630,24.6
4930,20160701,24.63
4931,20160702,23.34
