"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1602,1702,1826,1944,2135,2095,2162,2195,2224,2319,2369
"광주","공공행정, 국방 및 사회보장 행정(84)",251,254,257,263,262,269,269,267,264,270,271
"광주","교육 서비스업(85)",6587,6754,6802,6899,6756,6603,6702,6941,6985,7042,6773
"광주","보건업 및 사회복지 서비스업(86~87)",3656,3822,4053,4214,4396,4397,4680,4887,4891,5010,4911
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)",3856,3865,3917,3895,3727,3576,3952,4188,4239,4282,4197
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",12601,12771,13038,13150,13075,12966,13222,13722,13892,14132,14199
"대전","전체 산업",95650,100474,104609,105676,109535,111815,113228,115423,117557,119628,123728
"대전","농업, 임업 및 어업(01~03)",6,8,5,5,7,12,11,12,14,18,36
"대전","광업(05~08)",3,2,5,5,4,5,5,3,3,4,5
"대전","제조업(10~34)",6618,6792,7145,7324,7667,8044,7992,8114,8220,8380,8647
"대전","전기, 가스, 증기 및 공기조절 공급업(35)",10,12,12,16,20,24,24,39,39,60,80
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",115,130,138,136,147,137,147,138,135,141,157
"대전","건설업(41~42)",2865,3126,3312,3500,3743,3882,3942,4037,4134,4240,4607
"대전","도매 및 소매업(45~47)",25665,26997,28118,28637,29949,30443,30517,30776,30718,30596,31827
"대전","운수 및 창고업(49~52)",10160,10808,11450,10672,11286,11790,11609,11905,12730,12996,13549
"대전","숙박 및 음식점업(55~56)",17382,18117,18686,19130,19616,20080,20495,20855,21249,21767,22960
"대전","정보통신업(58~63)",715,837,912,968,1106,1133,1169,1185,1205,1314,1444
"대전","금융 및 보험업(64~66)",1277,1358,1351,1357,1370,1417,1430,1424,1418,1400,1322
"대전","부동산업(68)",3079,3353,3422,3408,3599,3711,3852,4082,4237,4512,4812
"대전","전문, 과학 및 기술 서비스업(70~73)",2080,2332,2484,2570,2804,2973,2999,3040,3201,3452,3699
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1567,1715,1838,1897,2022,2048,2083,2061,2100,2191,2310
"대전","공공행정, 국방 및 사회보장 행정(84)",242,245,240,246,250,274,279,277,278,283,278
"대전","교육 서비스업(85)",5260,5420,5484,5469,5475,5472,5597,5693,5739,5874,5679
"대전","보건업 및 사회복지 서비스업(86~87)",3830,4068,4391,4523,4715,4675,4900,4977,4964,4971,4822
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)",3244,3361,3403,3415,3414,3269,3585,3807,3856,3941,3898
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",11532,11793,12213,12398,12341,12426,12592,12998,13317,13488,13596
"울산","전체 산업",70746,73417,74578,76993,78638,80805,82948,83872,85662,87054,89907
"울산","농업, 임업 및 어업(01~03)",11,14,14,19,15,19,17,21,34,36,54
"울산","광업(05~08)",14,15,13,12,16,16,17,17,21,19,16
"울산","제조업(10~34)",5285,5555,5903,6319,6725,7159,7193,7227,7299,7729,7917
"울산","전기, 가스, 증기 및 공기조절 공급업(35)",16,13,13,15,18,16,25,32,39,46,57
